#genename	D. discoideum gene name	
#ddb_g	D. discoideum dictybase gene ID	
#jgi_id	D. purpureum JGI gene ID	
#		
genename	ddb_g	jgi_id
DDB_G0270966	DDB_G0270966	57002
DDB_G0269864	DDB_G0269864	57008
DDB_G0270324	DDB_G0270324	57015
DDB_G0271030	DDB_G0271030	57022
ubqD	DDB_G0286907	57034
cofB	DDB_G0291970	57070
DDB_G0294633	DDB_G0294633	57081
efaAI	DDB_G0269134	52946
sgmA	DDB_G0270834	52947
paf1	DDB_G0269412	52960
gpsn2	DDB_G0270270	52983
glnS	DDB_G0289481	57084
ecmG	DDB_G0292224	57109
DDB_G0279643	DDB_G0279643	57120
DDB_G0292834	DDB_G0292834	57126
ubpA	DDB_G0291239	57131
DDB_G0290311	DDB_G0290311	57141
culB	DDB_G0267384	57147
DDB_G0281937	DDB_G0281937	57163
fray2	DDB_G0276577	57173
atp5b	DDB_G0269916	52984
nup54	DDB_G0270320	52987
psmD6	DDB_G0270188	53005
DDB_G0287221	DDB_G0287221	57189
rab18	DDB_G0289827	57208
pXi	DDB_G0289119	57246
DDB_G0282411	DDB_G0282411	57256
mvpB	DDB_G0291127	53036
DDB_G0291013	DDB_G0291013	53050
DDB_G0291003	DDB_G0291003	53053
DDB_G0290983	DDB_G0290983	53058
DDB_G0293498	DDB_G0293498	57268
vps52B	DDB_G0293496	57270
ndufv2	DDB_G0291173	57306
argB	DDB_G0274811	57308
DDB_G0274813	DDB_G0274813	57310
rasS	DDB_G0283537	57324
fut10	DDB_G0286889	57337
DDB_G0286871	DDB_G0286871	57346
dstA	DDB_G0281381	57361
DDB_G0281415	DDB_G0281415	57365
fam63B	DDB_G0281445	57374
DDB_G0271068	DDB_G0271068	57393
gtf2b	DDB_G0290929	53091
gpaF	DDB_G0283151	53101
allB1	DDB_G0282199	57406
DDB_G0268244	DDB_G0268244	57424
DDB_G0293448	DDB_G0293448	57437
DDB_G0267582	DDB_G0267582	57477
DDB_G0293012	DDB_G0293012	53111
DDB_G0293186	DDB_G0293186	53119
cnrI	DDB_G0269768	57488
DDB_G0268870	DDB_G0268870	57498
DDB_G0285897	DDB_G0285897	57514
DDB_G0285901	DDB_G0285901	57519
capB	DDB_G0277501	57536
ctrC	DDB_G0291201	57548
DDB_G0277483	DDB_G0277483	57580
DDB_G0276837	DDB_G0276837	57581
ctaA	DDB_G0293004	53138
DDB_G0293170	DDB_G0293170	53154
cpnA	DDB_G0293008	53159
DDB_G0269724	DDB_G0269724	52080
DDB_G0269982	DDB_G0269982	52083
DDB_G0272192	DDB_G0272192	57630
DDB_G0271120	DDB_G0271120	57640
DDB_G0275297	DDB_G0275297	57646
rpc2	DDB_G0288449	53172
glnA2	DDB_G0295755	53182
DDB_G0276193	DDB_G0276193	57680
u2af1	DDB_G0285077	57704
DDB_G0286533	DDB_G0286533	57749
kif10	DDB_G0293198	57752
DDB_G0271886	DDB_G0271886	57754
DDB_G0271866	DDB_G0271866	57755
DDB_G0283971	DDB_G0283971	53205
DDB_G0283991	DDB_G0283991	53209
amfr	DDB_G0279345	53219
snpA	DDB_G0285111	57761
DDB_G0284243	DDB_G0284243	57785
DDB_G0293078	DDB_G0293078	57790
DDB_G0285467	DDB_G0285467	57796
nog1	DDB_G0285465	57799
pip5k3	DDB_G0279149	57810
eIF3s6ip	DDB_G0272076	53222
fsjC	DDB_G0284945	57851
DDB_G0277969	DDB_G0277969	57873
DDB_G0276905	DDB_G0276905	57886
dymB	DDB_G0277851	57918
DDB_G0275843	DDB_G0275843	57925
erf1	DDB_G0288613	57934
DDB_G0272470	DDB_G0272470	53257
slc44a2	DDB_G0289013	57949
DDB_G0281857	DDB_G0281857	57961
hspH	DDB_G0290187	57975
serA	DDB_G0281071	57993
DDB_G0281181	DDB_G0281181	57996
DDB_G0287217	DDB_G0287217	58007
DDB_G0290839	DDB_G0290839	53277
DDB_G0287407	DDB_G0287407	58027
DDB_G0287405	DDB_G0287405	58029
abcG24	DDB_G0282103	58057
DDB_G0273835	DDB_G0273835	53299
DDB_G0292830	DDB_G0292830	58099
arcC	DDB_G0292804	58101
icmA-1	DDB_G0272799	58140
DDB_G0274081	DDB_G0274081	58145
DDB_G0268796	DDB_G0268796	58152
DDB_G0290491	DDB_G0290491	53332
DDB_G0291187	DDB_G0291187	53337
sigM	DDB_G0286563	53342
colB	DDB_G0274221	58166
DDB_G0274781	DDB_G0274781	58183
DDB_G0274785	DDB_G0274785	58184
DDB_G0274347	DDB_G0274347	58185
pikA	DDB_G0278727	58194
rpl39	DDB_G0302511	53355
rpl35a	DDB_G0270424	53408
DDB_G0269826	DDB_G0269826	53413
DDB_G0268696	DDB_G0268696	58305
DDB_G0279973	DDB_G0279973	58311
cks1	DDB_G0271642	58324
acy1	DDB_G0270562	53427
DDB_G0270028	DDB_G0270028	53435
DDB_G0269628	DDB_G0269628	53438
gefE	DDB_G0269252	53443
rps26	DDB_G0281677	52099
msh3	DDB_G0281683	52102
DDB_G0281763	DDB_G0281763	52105
DDB_G0281889	DDB_G0281889	52108
psmA1	DDB_G0282363	52118
ap4b1	DDB_G0283319	58333
DDB_G0274259	DDB_G0274259	52123
sf3b3	DDB_G0282569	52125
prsA	DDB_G0284669	58337
purL	DDB_G0288145	58348
CSN1	DDB_G0283587	58371
crlG	DDB_G0279599	58375
DDB_G0277375	DDB_G0277375	58394
efbA	DDB_G0288373	58424
hspI	DDB_G0288921	58428
DDB_G0274157	DDB_G0274157	58429
sec61g	DDB_G0287777	58447
ubc9	DDB_G0287693	58449
DDB_G0282255	DDB_G0282255	58458
amdhd1	DDB_G0269854	58479
maoD	DDB_G0282999	58486
DDB_G0269908	DDB_G0269908	58510
srp68	DDB_G0285821	53497
rpl11	DDB_G0279189	58541
DDB_G0285345	DDB_G0285345	53518
spc97	DDB_G0285849	53526
omt6	DDB_G0275501	53543
cycB	DDB_G0275493	53545
DDB_G0275633	DDB_G0275633	53548
DDB_G0275039	DDB_G0275039	53556
erkA	DDB_G0286353	53558
DDB_G0288523	DDB_G0288523	58605
dpp3-1	DDB_G0273471	58624
gefS	DDB_G0271868	58639
DDB_G0288863	DDB_G0288863	53560
cwc2	DDB_G0284563	53563
rps13	DDB_G0284533	53570
shmt1	DDB_G0277947	53574
dpoA	DDB_G0274387	53590
DDB_G0281589	DDB_G0281589	58645
DDB_G0277813	DDB_G0277813	58665
cdk8	DDB_G0267442	58676
lvsF	DDB_G0284333	53602
splA	DDB_G0283385	53617
pdi2	DDB_G0291434	58708
ppp6C	DDB_G0272118	53645
DDB_G0273595	DDB_G0273595	53657
DDB_G0292448	DDB_G0292448	58748
fhbA	DDB_G0292378	58751
ppiA	DDB_G0282359	58785
DDB_G0271302	DDB_G0271302	53679
DDB_G0280187	DDB_G0280187	53689
snfA	DDB_G0277905	58802
nramp1	DDB_G0276973	58815
ireA	DDB_G0267650	58819
DDB_G0280145	DDB_G0280145	53711
kxcB	DDB_G0293124	52129
DDB_G0291968	DDB_G0291968	53735
tmem50	DDB_G0281983	52137
DDB_G0272128	DDB_G0272128	58822
DDB_G0272062	DDB_G0272062	58838
DDB_G0291524	DDB_G0291524	58841
DDB_G0272342	DDB_G0272342	58843
DDB_G0279443	DDB_G0279443	58856
cutA	DDB_G0283621	53740
DDB_G0283629	DDB_G0283629	53745
prsC	DDB_G0283627	53750
DDB_G0283625	DDB_G0283625	53753
DDB_G0269888	DDB_G0269888	53766
DDB_G0277477	DDB_G0277477	58874
DDB_G0270154	DDB_G0270154	58914
haao	DDB_G0282743	58919
DDB_G0271354	DDB_G0271354	58924
DDB_G0289335	DDB_G0289335	58938
DDB_G0284895	DDB_G0284895	53804
DDB_G0268478	DDB_G0268478	53816
DDB_G0286163	DDB_G0286163	53830
dscE	DDB_G0292552	58954
comD	DDB_G0283345	58958
mgluS	DDB_G0271906	58973
DDB_G0271726	DDB_G0271726	58977
DDB_G0274739	DDB_G0274739	59006
mybN	DDB_G0292782	59013
DDB_G0293552	DDB_G0293552	59022
phg1b	DDB_G0277273	59030
DDB_G0276523	DDB_G0276523	53882
alyL	DDB_G0286229	53888
arcE	DDB_G0288319	59079
nosA	DDB_G0292264	59083
cap	DDB_G0288769	53913
fam18B	DDB_G0286703	53921
clcE	DDB_G0286491	53930
alyD-1	DDB_G0273197	53943
DDB_G0278399	DDB_G0278399	59128
rapA	DDB_G0291237	59134
DDB_G0288827	DDB_G0288827	59136
DDB_G0290393	DDB_G0290393	53966
gpaA	DDB_G0283349	53968
DDB_G0282941	DDB_G0282941	53972
DDB_G0279363	DDB_G0279363	53982
rps9	DDB_G0289877	53992
pfdn3	DDB_G0286473	59149
CBP2	DDB_G0267456	59151
DDB_G0291428	DDB_G0291428	59156
wdr45l	DDB_G0282581	54001
prpf4B	DDB_G0279703	54020
DDB_G0278893	DDB_G0278893	52167
DDB_G0278541	DDB_G0278541	52171
rpl5	DDB_G0278539	52175
eIF3s8	DDB_G0279109	52181
DDB_G0279115	DDB_G0279115	52183
DDB_G0275913	DDB_G0275913	52190
DD3-3	DDB_G0283095	52193
pikB	DDB_G0283081	52203
DDB_G0282971	DDB_G0282971	52216
DDB_G0277115	DDB_G0277115	59184
mfeB	DDB_G0277911	59190
DDB_G0284661	DDB_G0284661	59197
dak	DDB_G0278191	54025
DDB_G0278161	DDB_G0278161	54031
rpl23	DDB_G0290315	54064
DDB_G0284569	DDB_G0284569	59227
ltv1	DDB_G0275601	54085
qprt	DDB_G0272462	59260
DDB_G0288271	DDB_G0288271	54123
helB2	DDB_G0277857	54136
DDB_G0278059	DDB_G0278059	54139
DDB_G0278341	DDB_G0278341	54141
mai	DDB_G0278155	54156
pepD	DDB_G0269382	54167
CYP524A1	DDB_G0269016	54169
abcG1	DDB_G0269214	54176
DDB_G0275547	DDB_G0275547	54180
usp14	DDB_G0271264	54181
DDB_G0269372	DDB_G0269372	59316
DDB_G0286305	DDB_G0286305	54199
DDB_G0285669	DDB_G0285669	54213
DDB_G0268034	DDB_G0268034	54218
DDB_G0268038	DDB_G0268038	54221
rexo1	DDB_G0291590	54227
limB	DDB_G0284863	54237
rps24	DDB_G0275473	59352
DDB_G0293638	DDB_G0293638	54248
DDB_G0280235	DDB_G0280235	54285
coq5	DDB_G0280237	54286
DDB_G0274309	DDB_G0274309	52224
myoI	DDB_G0274455	52275
DDB_G0274331	DDB_G0274331	52292
purF	DDB_G0274321	52300
DDB_G0282311	DDB_G0282311	59395
mocos	DDB_G0272935	59401
DDB_G0277271	DDB_G0277271	54296
ldhA	DDB_G0281101	54304
apm4	DDB_G0276945	54317
gloA	DDB_G0291265	54340
taf13	DDB_G0292838	54356
DDB_G0279785	DDB_G0279785	54361
DDB_G0283075	DDB_G0283075	59449
ino80	DDB_G0292358	54372
DDB_G0292362	DDB_G0292362	54379
DDB_G0289127	DDB_G0289127	54411
DDB_G0289081	DDB_G0289081	54421
DDB_G0284887	DDB_G0284887	54428
DDB_G0285011	DDB_G0285011	54438
echs1	DDB_G0285071	54444
rab1D	DDB_G0284985	54449
DDB_G0281543	DDB_G0281543	54488
DDB_G0275057	DDB_G0275057	52310
ergic3	DDB_G0292002	52316
abcF4	DDB_G0267436	52338
DDB_G0267498	DDB_G0267498	52340
DDB_G0278797	DDB_G0278797	54525
coxA	DDB_G0281549	54540
DDB_G0283125	DDB_G0283125	54574
DDB_G0272054	DDB_G0272054	54579
DDB_G0286993	DDB_G0286993	54584
DDB_G0270488	DDB_G0270488	54646
DDB_G0290465	DDB_G0290465	54671
rrpB	DDB_G0291249	54684
racL	DDB_G0292816	52376
DDB_G0292866	DDB_G0292866	52377
pigS	DDB_G0289515	54711
gmppB	DDB_G0287619	54721
DDB_G0288089	DDB_G0288089	54729
DDB_G0288091	DDB_G0288091	54731
ada	DDB_G0287371	54735
ppcdc	DDB_G0278413	54757
rcdP	DDB_G0269180	54769
DDB_G0284065	DDB_G0284065	54771
DDB_G0274283	DDB_G0274283	54791
DDB_G0284907	DDB_G0284907	54806
galE	DDB_G0275295	54812
purD	DDB_G0290121	54831
sort1	DDB_G0290081	54835
DDB_G0289979	DDB_G0289979	25009
DDB_G0274393	DDB_G0274393	24967
DDB_G0277415	DDB_G0277415	24979
udkB	DDB_G0274559	24920
DDB_G0272100	DDB_G0272100	24970
DDB_G0274911	DDB_G0274911	24907
DDB_G0274407	DDB_G0274407	24961
DDB_G0293206	DDB_G0293206	26132
fam96A	DDB_G0292558	26130
DDB_G0278747	DDB_G0278747	26158
DDB_G0278903	DDB_G0278903	26115
DDB_G0275847	DDB_G0275847	26064
DDB_G0275555	DDB_G0275555	26161
limD1	DDB_G0287507	32515
DDB_G0287241	DDB_G0287241	32479
gphn	DDB_G0287261	32483
pus7	DDB_G0271632	32540
DDB_G0272056	DDB_G0272056	32526
ucpB	DDB_G0283333	32523
rpb12	DDB_G0283365	32553
DDB_G0276375	DDB_G0276375	32597
mcfC	DDB_G0287009	32594
DDB_G0287067	DDB_G0287067	32596
DDB_G0277169	DDB_G0277169	32656
DDB_G0276847	DDB_G0276847	32636
DDB_G0275343	DDB_G0275343	32613
DDB_G0276853	DDB_G0276853	32620
DDB_G0280129	DDB_G0280129	32622
map1d	DDB_G0280127	32637
DDB_G0286065	DDB_G0286065	32720
vps25	DDB_G0267708	32729
DDB_G0270708	DDB_G0270708	32742
DDB_G0286129	DDB_G0286129	32685
DDB_G0279321	DDB_G0279321	32669
hddc2	DDB_G0290795	32675
commd6	DDB_G0286077	32706
DDB_G0290031	DDB_G0290031	32773
phg2	DDB_G0283699	32789
DDB_G0284481	DDB_G0284481	32762
DDB_G0290027	DDB_G0290027	32760
mvd	DDB_G0278607	32847
DDB_G0272074	DDB_G0272074	32822
rpc19	DDB_G0291362	32831
DDB_G0276529	DDB_G0276529	32869
lipA	DDB_G0279909	32915
rps2	DDB_G0293742	32959
DDB_G0293946	DDB_G0293946	32960
naglu	DDB_G0291998	26247
DDB_G0292078	DDB_G0292078	26201
DDB_G0281077	DDB_G0281077	26246
gxcU	DDB_G0291996	26275
fscF	DDB_G0292064	26238
casK	DDB_G0276885	26270
commd1	DDB_G0292074	26215
DDB_G0286103	DDB_G0286103	26223
DDB_G0275375	DDB_G0275375	32965
cpsf1	DDB_G0281585	32967
imp4	DDB_G0302418	33009
triA	DDB_G0292436	33071
DDB_G0278901	DDB_G0278901	33056
ctnB	DDB_G0279797	33087
DDB_G0292928	DDB_G0292928	33096
DDB_G0292920	DDB_G0292920	33074
DDB_G0287847	DDB_G0287847	33094
gpn3	DDB_G0285197	33147
mrpl27	DDB_G0278889	33196
prafA	DDB_G0278887	33197
drap1	DDB_G0292510	33173
DDB_G0294553	DDB_G0294553	33259
trpS	DDB_G0269454	33261
DDB_G0269548	DDB_G0269548	33256
DDB_G0274893	DDB_G0274893	33276
DDB_G0288005	DDB_G0288005	33288
coq10-1	DDB_G0273089	33274
grlA	DDB_G0271684	33314
DDB_G0291810	DDB_G0291810	33321
DDB_G0273253	DDB_G0273253	33308
H2Bv1	DDB_G0293758	33357
DDB_G0271730	DDB_G0271730	33329
DDB_G0281099	DDB_G0281099	33388
rio1	DDB_G0280431	33395
DDB_G0290041	DDB_G0290041	26339
gcn5	DDB_G0283459	26398
ubl5	DDB_G0284205	26369
DDB_G0284381	DDB_G0284381	26301
DDB_G0283683	DDB_G0283683	26374
mpi	DDB_G0284685	26332
DDB_G0283677	DDB_G0283677	26389
DDB_G0284199	DDB_G0284199	26366
eriA	DDB_G0283113	33426
DDB_G0282937	DDB_G0282937	33450
drkD	DDB_G0281557	33484
DDB_G0278937	DDB_G0278937	33488
DDB_G0279473	DDB_G0279473	33474
DDB_G0281843	DDB_G0281843	33473
DDB_G0269920	DDB_G0269920	33545
DDB_G0277045	DDB_G0277045	33519
DDB_G0291442	DDB_G0291442	33526
DDB_G0284913	DDB_G0284913	33578
DDB_G0285013	DDB_G0285013	33583
DDB_G0284429	DDB_G0284429	33595
DDB_G0284915	DDB_G0284915	33571
DDB_G0276563	DDB_G0276563	33592
DDB_G0285055	DDB_G0285055	33594
cmbB	DDB_G0288131	33630
DDB_G0268358	DDB_G0268358	33643
DDB_G0287015	DDB_G0287015	33672
DDB_G0287027	DDB_G0287027	33662
DDB_G0286043	DDB_G0286043	33680
aifD	DDB_G0286241	33638
vamp7A	DDB_G0284951	33651
forB	DDB_G0282297	33735
gxcV	DDB_G0282271	33732
DDB_G0282305	DDB_G0282305	33721
DDB_G0281283	DDB_G0281283	33709
DDB_G0281923	DDB_G0281923	33711
DDB_G0281331	DDB_G0281331	33770
DDB_G0281059	DDB_G0281059	33767
DDB_G0271066	DDB_G0271066	33776
thoc2	DDB_G0291063	33784
DDB_G0289993	DDB_G0289993	33780
DDB_G0270062	DDB_G0270062	33829
DDB_G0284801	DDB_G0284801	26402
rapB	DDB_G0272857	26434
DDB_G0272971	DDB_G0272971	26502
nat9	DDB_G0272710	26513
pfdn2	DDB_G0267594	33907
dlpC	DDB_G0271628	33855
hibch	DDB_G0267536	33863
DDB_G0267656	DDB_G0267656	33881
DDB_G0267952	DDB_G0267952	33883
DDB_G0281859	DDB_G0281859	33852
DDB_G0281495	DDB_G0281495	33930
DDB_G0287757	DDB_G0287757	33913
DDB_G0281035	DDB_G0281035	33911
polB	DDB_G0284713	33968
DDB_G0284705	DDB_G0284705	33983
DDB_G0284145	DDB_G0284145	33948
atg18	DDB_G0285375	33979
DDB_G0285377	DDB_G0285377	33962
DDB_G0285379	DDB_G0285379	33997
DDB_G0276725	DDB_G0276725	33993
expl7	DDB_G0288331	34025
DDB_G0288325	DDB_G0288325	34032
purB	DDB_G0288333	34030
DDB_G0268824	DDB_G0268824	34085
nap1	DDB_G0269290	34067
DDB_G0269282	DDB_G0269282	34073
DDB_G0269330	DDB_G0269330	34083
pde3	DDB_G0268634	34050
dlpA	DDB_G0268592	34090
DDB_G0268314	DDB_G0268314	34197
DDB_G0291344	DDB_G0291344	34242
DDB_G0291340	DDB_G0291340	34248
DDB_G0291828	DDB_G0291828	34221
DDB_G0291342	DDB_G0291342	34225
cpiA	DDB_G0291834	34246
DDB_G0279137	DDB_G0279137	34262
DDB_G0278675	DDB_G0278675	34300
DDB_G0278979	DDB_G0278979	34297
DDB_G0278785	DDB_G0278785	34292
DDB_G0291408	DDB_G0291408	34288
wdr12	DDB_G0279903	26566
rer1	DDB_G0292588	26615
ube2v	DDB_G0292596	26622
CYP508A2-1	DDB_G0272604	26606
rnaseh2a	DDB_G0292584	26608
DDB_G0279905	DDB_G0279905	26607
DDB_G0278425	DDB_G0278425	26598
DDB_G0269376	DDB_G0269376	34335
rad1	DDB_G0269378	34318
rabggta	DDB_G0269570	34340
mcm9	DDB_G0286035	34376
vwkA	DDB_G0268144	34378
DDB_G0269062	DDB_G0269062	34383
myoD	DDB_G0275447	34447
DDB_G0275603	DDB_G0275603	34424
DDB_G0290183	DDB_G0290183	34471
DDB_G0280371	DDB_G0280371	34436
DDB_G0289995	DDB_G0289995	34493
DDB_G0281541	DDB_G0281541	34522
DDB_G0291083	DDB_G0291083	34496
DDB_G0277751	DDB_G0277751	34531
DDB_G0282421	DDB_G0282421	34586
DDB_G0293276	DDB_G0293276	34584
crlA	DDB_G0280983	34601
pfdn5	DDB_G0280607	34623
DDB_G0292046	DDB_G0292046	34644
DDB_G0292048	DDB_G0292048	34643
DDB_G0271272	DDB_G0271272	26655
DDB_G0278945	DDB_G0278945	26651
DDB_G0268564	DDB_G0268564	26627
DDB_G0278831	DDB_G0278831	26662
dync1li1	DDB_G0292904	34712
DDB_G0295485	DDB_G0295485	34701
cluA	DDB_G0292806	34673
DDB_G0281639	DDB_G0281639	34685
pgl	DDB_G0292898	34691
DDB_G0278985	DDB_G0278985	34679
imp3	DDB_G0278983	34708
DDB_G0278989	DDB_G0278989	34705
DDB_G0292906	DDB_G0292906	34686
DDB_G0280419	DDB_G0280419	34742
DDB_G0288023	DDB_G0288023	34764
DDB_G0275353	DDB_G0275353	34747
ap3s1	DDB_G0275405	34761
cypD	DDB_G0280401	34727
docB	DDB_G0270404	34798
mre11	DDB_G0293546	34779
rfc3	DDB_G0293702	34783
manB	DDB_G0278259	34840
DDB_G0278331	DDB_G0278331	34837
DDB_G0278925	DDB_G0278925	34848
ctns	DDB_G0279445	34820
DDB_G0283887	DDB_G0283887	34855
dus2l	DDB_G0283877	34883
DDB_G0283573	DDB_G0283573	34890
DDB_G0276243	DDB_G0276243	34933
DDB_G0281353	DDB_G0281353	34947
adprh	DDB_G0289675	34975
grlM	DDB_G0286643	34997
ugt2	DDB_G0268540	35006
DDB_G0267898	DDB_G0267898	35014
DDB_G0286639	DDB_G0286639	35027
jcdF	DDB_G0290869	35082
DDB_G0290605	DDB_G0290605	35083
spc3	DDB_G0290851	35069
DDB_G0293312	DDB_G0293312	26752
qpct	DDB_G0293986	26772
mybA	DDB_G0293900	26731
gxcKK	DDB_G0293340	26788
DDB_G0293866	DDB_G0293866	26757
DDB_G0282833	DDB_G0282833	26774
DDB_G0283799	DDB_G0283799	35109
DDB_G0284165	DDB_G0284165	35121
DDB_G0274687	DDB_G0274687	35181
thrS2	DDB_G0274545	35169
DDB_G0274251	DDB_G0274251	35158
DDB_G0274379	DDB_G0274379	35164
DDB_G0281939	DDB_G0281939	35206
DDB_G0271962	DDB_G0271962	35212
snrpE	DDB_G0302414	35231
DDB_G0290085	DDB_G0290085	35223
dgtA	DDB_G0288321	35249
bxdc2	DDB_G0287937	35229
dhkJ	DDB_G0277883	35308
nup43	DDB_G0277955	35300
DDB_G0278195	DDB_G0278195	35306
pikG	DDB_G0282625	35373
DDB_G0281971	DDB_G0281971	35395
nola4	DDB_G0281933	35400
DDB_G0285887	DDB_G0285887	35425
DDB_G0275749	DDB_G0275749	35514
trmt6	DDB_G0281175	35506
DDB_G0275647	DDB_G0275647	35486
psmD9	DDB_G0275753	35527
DG1113	DDB_G0280959	35564
wdr36	DDB_G0277019	26840
clcB	DDB_G0276865	26867
DDB_G0277043	DDB_G0277043	26830
DDB_G0287425	DDB_G0287425	26824
DDB_G0293606	DDB_G0293606	35593
DDB_G0276151	DDB_G0276151	35595
DDB_G0273789	DDB_G0273789	35644
rps30-1	DDB_G0273191	35633
dynB	DDB_G0285503	35656
rrs1	DDB_G0274521	35659
ragA	DDB_G0288701	35824
DDB_G0287749	DDB_G0287749	35825
DDB_G0283251	DDB_G0283251	35831
DDB_G0283187	DDB_G0283187	35834
cpras2	DDB_G0293376	35883
DDB_G0292774	DDB_G0292774	35893
DDB_G0288957	DDB_G0288957	35924
DDB_G0289743	DDB_G0289743	35909
arrD	DDB_G0289069	35934
DDB_G0292410	DDB_G0292410	26975
vps37	DDB_G0269510	26951
DDB_G0282879	DDB_G0282879	26995
DDB_G0274779	DDB_G0274779	26967
DDB_G0292408	DDB_G0292408	26932
DDB_G0283557	DDB_G0283557	35954
DDB_G0285685	DDB_G0285685	35950
DDB_G0285699	DDB_G0285699	35957
cbpB	DDB_G0283533	35949
psiB	DDB_G0268000	35995
DDB_G0293014	DDB_G0293014	36006
symA	DDB_G0292814	35993
DDB_G0289225	DDB_G0289225	36081
DDB_G0284491	DDB_G0284491	36123
forI	DDB_G0284519	36102
DDB_G0284493	DDB_G0284493	36115
pdkB	DDB_G0284489	36122
DDB_G0288671	DDB_G0288671	36148
DDB_G0286375	DDB_G0286375	36163
DDB_G0287079	DDB_G0287079	36174
DDB_G0269004	DDB_G0269004	36211
DDB_G0269096	DDB_G0269096	36244
DDB_G0282477	DDB_G0282477	27078
DDB_G0279107	DDB_G0279107	27081
DDB_G0278575	DDB_G0278575	27070
DDB_G0279067	DDB_G0279067	27061
DDB_G0279019	DDB_G0279019	27048
ddx17	DDB_G0293168	27074
eRF3	DDB_G0277919	36325
rad54b	DDB_G0285117	36354
impA	DDB_G0285455	36352
hus1	DDB_G0285353	36380
psmE3	DDB_G0285099	36346
dynF	DDB_G0290757	36363
rpa12	DDB_G0278263	36381
DDB_G0293600	DDB_G0293600	36445
exoc4	DDB_G0284833	36520
4cl1	DDB_G0284831	36508
pigK	DDB_G0285461	36512
DDB_G0284627	DDB_G0284627	36493
DDB_G0284173	DDB_G0284173	36498
adkA	DDB_G0283805	36500
cplA	DDB_G0269200	36556
sdhaf1B	DDB_G0270818	36559
DDB_G0270052	DDB_G0270052	25175
vps54	DDB_G0272985	25134
DDB_G0282467	DDB_G0282467	25072
DDB_G0272184	DDB_G0272184	25046
DDB_G0277189	DDB_G0277189	27183
DDB_G0277327	DDB_G0277327	27199
DDB_G0275091	DDB_G0275091	27213
DDB_G0277013	DDB_G0277013	27214
DDB_G0277007	DDB_G0277007	27239
DDB_G0275371	DDB_G0275371	27230
DDB_G0276237	DDB_G0276237	27193
DDB_G0276675	DDB_G0276675	27234
DDB_G0277333	DDB_G0277333	27255
DDB_G0275335	DDB_G0275335	27270
mrps17	DDB_G0277195	27237
pop1	DDB_G0291320	36629
DDB_G0271356	DDB_G0271356	36620
pks14	DDB_G0272859	36677
DDB_G0276035	DDB_G0276035	36676
DDB_G0274201	DDB_G0274201	36659
pigX	DDB_G0283717	36695
gpaI	DDB_G0283419	36694
DDB_G0292682	DDB_G0292682	36746
DDB_G0292494	DDB_G0292494	36750
DDB_G0293190	DDB_G0293190	36733
DDB_G0292498	DDB_G0292498	36729
DDB_G0274491	DDB_G0274491	36758
torA	DDB_G0276353	36779
DDB_G0277311	DDB_G0277311	36795
DDB_G0277213	DDB_G0277213	36797
DDB_G0277257	DDB_G0277257	36788
adprt1A	DDB_G0278741	36817
sec61b	DDB_G0278117	36820
gtf2h2	DDB_G0272362	36877
abcG16	DDB_G0289331	36905
DDB_G0287807	DDB_G0287807	36912
DDB_G0287889	DDB_G0287889	36934
DDB_G0267482	DDB_G0267482	27344
DDB_G0268132	DDB_G0268132	27300
DDB_G0268140	DDB_G0268140	27346
dafE	DDB_G0267388	27357
DDB_G0291470	DDB_G0291470	27282
srp19	DDB_G0275211	27302
DDB_G0273433	DDB_G0273433	36954
DDB_G0273777	DDB_G0273777	36938
DDB_G0281911	DDB_G0281911	37008
DDB_G0281793	DDB_G0281793	36990
DDB_G0281791	DDB_G0281791	37011
DDB_G0287711	DDB_G0287711	37021
DDB_G0286731	DDB_G0286731	37027
rpc11	DDB_G0287707	37036
DDB_G0268236	DDB_G0268236	37069
alg3	DDB_G0268238	37084
DDB_G0292764	DDB_G0292764	37089
DDB_G0277933	DDB_G0277933	37081
DDB_G0282593	DDB_G0282593	37066
DDB_G0272614	DDB_G0272614	37115
DDB_G0273467	DDB_G0273467	37126
DDB_G0283445	DDB_G0283445	37187
grn	DDB_G0283671	37177
DDB_G0283669	DDB_G0283669	37192
DDB_G0268536	DDB_G0268536	37207
eIF3s12	DDB_G0291404	37235
DDB_G0288947	DDB_G0288947	37243
DDB_G0288913	DDB_G0288913	37241
DDB_G0288911	DDB_G0288911	37248
DDB_G0288963	DDB_G0288963	37244
uch2	DDB_G0285527	27445
nubp1	DDB_G0277437	27432
asf1	DDB_G0285513	27423
rpa43	DDB_G0268198	27419
fut11	DDB_G0268190	27418
cdc45	DDB_G0267748	27471
DDB_G0288393	DDB_G0288393	27447
nutf2	DDB_G0276425	27457
top3	DDB_G0275257	37309
DDB_G0275113	DDB_G0275113	37287
cnrD	DDB_G0275209	37305
DDB_G0290753	DDB_G0290753	37318
helB1	DDB_G0275443	37328
DDB_G0275669	DDB_G0275669	37322
agps	DDB_G0286183	37348
DDB_G0286405	DDB_G0286405	37360
DDB_G0270440	DDB_G0270440	37370
DDB_G0287989	DDB_G0287989	37430
DDB_G0274271	DDB_G0274271	37434
rpl26	DDB_G0283741	37459
DDB_G0283127	DDB_G0283127	37479
DDB_G0284077	DDB_G0284077	37481
vatC	DDB_G0284473	37483
DDB_G0278297	DDB_G0278297	37528
